fips,city,region,uhi_index,median_income,pct_poc,poverty_rate,tree_canopy_pct,population
00000055437,New York,Northeast,11.0,47416,15.7,52.5,35.8,1191
00000055438,New York,Northeast,11.7,15000,69.5,49.1,12.9,943
00000055439,New York,Northeast,9.5,49263,27.2,55.0,27.9,2396
00000055440,New York,Northeast,9.95,79943,24.2,53.4,20.1,2775
00000055441,New York,Northeast,8.85,128987,42.9,39.9,28.2,1648
00000055442,New York,Northeast,11.56,74855,53.6,55.0,46.3,1070
00000055443,New York,Northeast,12.16,68055,76.5,54.9,29.5,1786
00000055444,New York,Northeast,10.78,52114,25.7,54.1,35.5,1350
00000055445,New York,Northeast,10.85,49993,23.6,53.0,43.9,1121
00000055446,New York,Northeast,9.8,88685,31.8,54.9,38.1,2215
00000055447,New York,Northeast,9.42,72275,27.9,55.0,25.8,1147
00000055448,New York,Northeast,11.41,49111,65.0,51.0,17.5,706
00000055449,New York,Northeast,11.06,39461,14.6,55.0,27.8,807
00000055450,New York,Northeast,11.49,60956,67.7,49.4,23.1,690
00000055451,New York,Northeast,10.71,51658,23.8,50.0,16.1,2097
00000055452,New York,Northeast,11.23,64861,75.5,54.8,29.8,1978
00000055453,New York,Northeast,9.62,59263,22.3,45.2,31.3,1920
00000055454,New York,Northeast,10.9,74733,48.3,55.0,42.3,2572
00000055455,New York,Northeast,10.76,33372,46.2,49.0,25.4,3696
00000055456,New York,Northeast,10.39,92299,68.5,53.6,30.8,1267
00000055457,New York,Northeast,9.01,134457,57.5,38.6,24.3,2307
00000055458,New York,Northeast,10.2,94840,43.1,48.3,35.7,700
00000055459,New York,Northeast,9.67,70465,34.9,43.5,28.1,4134
00000055460,New York,Northeast,9.93,87044,63.3,52.8,19.6,856
00000055461,New York,Northeast,10.18,39772,29.5,50.6,28.6,1180
00000055462,New York,Northeast,10.35,25417,16.3,43.6,31.7,1263
00000055463,New York,Northeast,10.46,84342,45.2,55.0,30.6,723
00000055464,New York,Northeast,10.54,51546,21.0,55.0,36.8,1843
00000055465,New York,Northeast,11.81,31333,49.0,55.0,15.8,2055
00000055466,New York,Northeast,10.04,42985,11.0,49.4,22.1,1613
00000055467,New York,Northeast,10.6,36736,26.9,47.0,33.5,717
00000055468,New York,Northeast,9.98,68360,23.0,53.0,23.1,5943
00000055469,New York,Northeast,11.31,79553,53.4,54.6,29.8,2513
00000055470,New York,Northeast,11.27,87193,50.3,55.0,8.5,8782
00000055471,New York,Northeast,8.56,87358,4.6,55.0,51.8,1115
00000055472,New York,Northeast,11.09,83874,80.8,55.0,25.9,3212
00000055473,New York,Northeast,10.98,59820,50.3,55.0,37.6,2885
00000055474,New York,Northeast,10.46,49413,28.2,55.0,25.8,1518
00000055475,New York,Northeast,12.09,27296,32.9,51.8,30.5,4215
00000055476,New York,Northeast,10.1,92491,37.3,54.6,40.7,1417
00000055477,New York,Northeast,9.28,60556,14.7,49.0,38.8,1456
00000055478,New York,Northeast,12.0,54740,73.3,55.0,25.6,225
00000055479,New York,Northeast,9.85,94492,30.7,53.2,27.9,2310
00000055480,New York,Northeast,10.61,42544,15.0,55.0,36.4,816
00000055481,New York,Northeast,11.11,85869,36.0,53.9,46.7,1299
00000055482,New York,Northeast,11.24,72414,63.0,55.0,29.4,976
00000055483,New York,Northeast,11.15,39054,48.5,55.0,43.6,1451
00000055484,New York,Northeast,10.07,63104,68.6,52.7,26.9,2359
00000055485,New York,Northeast,10.54,89324,69.0,51.0,36.1,1820
00000055486,New York,Northeast,10.49,84889,20.0,55.0,37.3,2767
00000055487,New York,Northeast,9.15,102385,36.3,43.9,26.3,3863
00000055488,New York,Northeast,8.43,73454,26.9,48.4,24.2,1449
00000055489,New York,Northeast,7.07,149307,30.6,28.7,40.4,1356
00000055490,New York,Northeast,11.22,41990,22.5,55.0,23.7,3211
00000055491,New York,Northeast,10.41,55034,15.8,52.7,21.4,3368
00000055492,New York,Northeast,11.02,63478,80.0,52.8,22.6,2819
00000055493,New York,Northeast,10.9,29531,37.2,55.0,23.9,1021
00000055494,New York,Northeast,9.61,91062,39.2,50.9,36.0,2329
00000055495,New York,Northeast,9.31,87588,30.2,51.1,33.6,1930
00000055496,New York,Northeast,9.49,65475,44.7,55.0,35.0,3399
00000055497,New York,Northeast,11.54,51639,48.6,55.0,31.0,1282
00000055498,New York,Northeast,11.41,27623,12.4,55.0,23.0,665
00000055499,New York,Northeast,10.57,45268,72.0,48.7,34.0,2735
00000055500,New York,Northeast,10.49,83592,25.5,52.5,38.0,389
00000055501,New York,Northeast,10.94,59695,51.9,55.0,32.8,1165
00000055502,New York,Northeast,11.46,54328,45.6,50.4,31.3,978
00000055503,New York,Northeast,10.37,77536,39.9,55.0,22.4,974
00000055504,New York,Northeast,10.69,93954,63.3,55.0,30.0,1153
00000055505,New York,Northeast,11.32,71427,70.9,52.1,21.3,3753
00000055506,New York,Northeast,9.81,72862,33.5,55.0,28.8,2958
00000055507,New York,Northeast,11.43,99296,72.0,55.0,14.6,1554
00000055508,New York,Northeast,9.87,69388,41.1,55.0,15.9,3569
00000055509,New York,Northeast,11.02,57267,60.1,55.0,26.5,955
00000055510,New York,Northeast,11.21,81828,65.3,55.0,23.5,880
00000055511,New York,Northeast,9.54,58584,13.3,50.7,30.1,3035
00000055512,New York,Northeast,10.94,55804,27.7,55.0,27.0,2560
00000055513,New York,Northeast,10.7,96843,37.8,54.4,28.6,1371
00000055514,New York,Northeast,11.33,57701,41.2,53.9,32.7,914
00000055515,New York,Northeast,10.95,15000,66.4,52.0,24.4,4340
00000055516,New York,Northeast,9.87,73637,27.3,48.6,27.2,644
00000055517,New York,Northeast,10.72,55112,29.5,46.3,39.9,1262
00000055518,New York,Northeast,8.97,57771,20.2,45.3,29.7,2073
00000055519,New York,Northeast,11.82,76323,80.5,55.0,26.0,5331
00000055520,New York,Northeast,11.11,60848,41.0,55.0,28.7,2275
00000055521,New York,Northeast,9.9,70373,50.2,52.6,27.7,2411
00000055522,New York,Northeast,12.37,15000,54.0,53.3,21.3,1284
00000055523,New York,Northeast,11.36,41423,45.2,55.0,19.8,2542
00000055524,New York,Northeast,9.41,100098,16.4,49.1,23.2,1925
00000055525,New York,Northeast,9.1,64536,16.2,48.3,36.6,697
00000055526,New York,Northeast,11.37,23162,33.6,55.0,22.7,2909
00000055527,New York,Northeast,9.59,38186,19.1,55.0,28.0,3236
00000055528,New York,Northeast,8.78,40185,2.0,55.0,35.5,2927
00000055529,New York,Northeast,10.64,67558,40.2,55.0,26.1,1844
00000055530,New York,Northeast,10.92,54184,26.0,50.9,33.2,1018
00000055531,New York,Northeast,11.4,48520,52.6,55.0,15.4,452
00000055532,New York,Northeast,11.05,65098,60.8,54.3,27.0,1986
00000055533,New York,Northeast,10.4,76943,46.2,55.0,29.2,3460
00000055534,New York,Northeast,10.24,58524,42.9,55.0,28.9,3285
00000055535,New York,Northeast,9.91,50632,16.6,49.8,15.7,2950
00000055536,New York,Northeast,10.31,54462,9.7,55.0,38.3,1729
00000055537,New York,Northeast,9.27,73495,4.2,55.0,22.6,3471
00000055538,New York,Northeast,11.17,64815,44.4,55.0,30.6,3147
00000055539,New York,Northeast,10.65,84182,53.6,54.5,28.4,1403
00000055540,New York,Northeast,11.31,36255,38.5,54.6,35.9,2713
00000055541,New York,Northeast,11.46,45616,37.6,55.0,45.2,1310
00000055542,New York,Northeast,9.93,84328,41.3,55.0,18.6,2499
00000055543,New York,Northeast,11.18,44954,31.1,55.0,22.7,829
00000055544,New York,Northeast,9.41,99600,53.8,42.7,30.9,868
00000055545,New York,Northeast,10.19,100130,48.7,52.4,19.9,3411
00000055546,New York,Northeast,10.51,99808,82.2,53.7,34.7,3173
00000055547,New York,Northeast,9.91,42983,16.6,55.0,35.7,2644
00000055548,New York,Northeast,10.56,66922,37.7,55.0,32.9,1906
00000055549,New York,Northeast,8.71,52664,18.7,45.5,31.8,430
00000055550,New York,Northeast,9.38,88079,17.0,55.0,40.3,1728
00000055551,New York,Northeast,9.57,107665,71.6,55.0,20.0,2374
00000055552,New York,Northeast,11.37,86839,69.4,55.0,28.3,1311
00000055553,New York,Northeast,11.62,65228,55.8,55.0,21.7,1179
00000055554,New York,Northeast,9.96,55861,28.0,55.0,36.0,4301
00000055555,New York,Northeast,11.02,81227,65.7,51.9,13.4,1743
00000055556,New York,Northeast,12.2,34428,57.9,55.0,26.9,2375
00000055557,New York,Northeast,11.53,78408,69.0,53.7,30.3,2876
00000055558,New York,Northeast,10.64,42132,18.3,54.9,20.8,991
00000055559,New York,Northeast,9.95,80513,8.8,55.0,23.9,2030
00000055560,New York,Northeast,9.9,60976,33.5,50.4,29.1,3990
00000055561,New York,Northeast,10.68,55293,33.3,55.0,36.0,5385
00000055562,New York,Northeast,10.97,42862,52.6,52.9,19.8,1851
00000055563,New York,Northeast,10.84,56081,60.0,55.0,21.3,1567
00000055564,New York,Northeast,10.22,78903,48.9,48.0,37.7,2124
00000055565,New York,Northeast,11.17,91096,75.3,55.0,25.8,2092
00000055566,New York,Northeast,10.65,78161,24.7,55.0,22.1,4154
00000055567,New York,Northeast,10.14,99097,56.6,47.9,34.6,994
00000055568,New York,Northeast,8.43,128479,38.2,30.2,26.2,1528
00000055569,New York,Northeast,11.02,56887,34.8,55.0,36.3,924
00000055570,New York,Northeast,11.87,59853,22.1,55.0,22.1,985
00000055571,New York,Northeast,10.42,28998,61.8,47.8,27.3,2266
00000055572,New York,Northeast,9.82,94768,64.9,47.1,36.6,2939
00000055573,New York,Northeast,10.87,97484,53.6,49.0,26.4,1224
00000055574,New York,Northeast,9.73,43321,4.6,50.9,35.1,2873
00000055575,New York,Northeast,10.47,80441,33.9,50.9,28.0,3522
00000055576,New York,Northeast,9.09,95426,24.9,41.8,45.5,5772
00000055577,New York,Northeast,11.18,70657,17.2,55.0,40.5,1885
00000055578,New York,Northeast,10.35,86185,73.6,55.0,18.0,1231
00000055579,New York,Northeast,10.09,69370,10.9,46.5,33.0,990
00000055580,New York,Northeast,12.72,34578,58.4,55.0,20.2,933
00000055581,New York,Northeast,8.93,91233,18.4,55.0,31.3,3827
00000055582,New York,Northeast,9.23,98127,8.7,47.2,30.0,728
00000055583,New York,Northeast,9.05,83362,15.8,55.0,21.2,3754
00000055584,New York,Northeast,11.74,41137,71.4,52.1,36.0,1073
00000055585,New York,Northeast,10.68,46220,34.2,55.0,30.0,1198
00000055586,New York,Northeast,9.54,36739,41.0,50.8,27.0,1650
00000055587,New York,Northeast,9.84,84249,14.7,55.0,25.5,1185
00000055588,New York,Northeast,9.12,96709,12.4,50.2,30.7,3162
00000055589,New York,Northeast,11.78,75612,60.1,55.0,30.7,5366
00000055590,New York,Northeast,10.35,88513,41.0,51.6,27.6,1218
00000055591,New York,Northeast,13.2,43308,83.1,55.0,3.7,1395
00000055592,New York,Northeast,10.22,68646,25.3,55.0,28.8,1639
00000055593,New York,Northeast,11.54,30753,52.8,55.0,16.1,2501
00000055594,New York,Northeast,11.8,45705,76.9,55.0,25.8,1648
00000055595,New York,Northeast,9.7,86966,38.4,51.9,17.9,4156
00000055596,New York,Northeast,9.29,59010,35.9,55.0,18.1,3597
00000055597,New York,Northeast,9.62,95234,35.6,52.3,39.1,887
00000055598,New York,Northeast,9.21,78449,44.7,55.0,27.0,2471
00000055599,New York,Northeast,8.7,133360,40.2,38.9,26.7,4501
00000055600,New York,Northeast,10.56,67344,76.7,51.8,32.3,1343
00000055601,New York,Northeast,11.61,29839,73.7,55.0,24.6,1515
00000055602,New York,Northeast,10.46,64136,49.7,55.0,45.3,1317
00000055603,New York,Northeast,11.27,40924,80.1,41.1,25.7,1333
00000055604,New York,Northeast,10.01,89429,36.0,55.0,31.8,664
00000055605,New York,Northeast,10.86,66049,29.5,52.8,36.0,814
00000055606,New York,Northeast,9.8,61568,28.0,50.6,41.9,1894
00000055607,New York,Northeast,11.08,61896,53.6,50.8,22.1,4483
00000055608,New York,Northeast,12.68,83508,73.8,54.3,23.4,1251
00000055609,New York,Northeast,11.34,53688,51.6,55.0,38.0,1229
00000055610,New York,Northeast,9.33,84426,22.6,48.2,35.9,5018
00000055611,New York,Northeast,10.19,91139,63.3,55.0,37.3,929
00000055612,New York,Northeast,10.51,56446,34.1,55.0,17.5,667
00000055613,New York,Northeast,10.96,41848,57.1,55.0,40.5,1099
00000055614,New York,Northeast,10.83,52175,43.3,49.6,22.1,1214
00000055615,New York,Northeast,10.42,82752,47.9,53.3,30.1,633
00000055616,New York,Northeast,9.27,67311,40.6,55.0,28.3,1674
